customer_id,fname,lname,email,address,phone_number,password,role
0,Jenny,Smith,jenn@gmail.com,"123 Main Streat, Anytown, USA",2136670,zx_nm@jenn,buyer
1,Aaron,Davis,aaron@usc.edu,"124 Any Ave, Anytown, USA",2148779,aar_davis2001,buyer
2,Jack,Taylor,jack@usc.edu,"333 Any Ave, Anytown, USA",2450989,jt_1998!,buyer
3,Ben,Smith,ben@gmail.com,"126 Main Streat, Anytown, BRA",6968673,bens@jyw,buyer
4,Karen,Aaron,kar245@gmail.com,"289 Main Streat, Anytown, USA",2359104,k_aaron,buyer
5,Jessie,West,jess@usc.edu,"143 Random Streat, Anytown, CAN",3491774,jessW2002,buyer
6,Mia,Lorence,mia@gmail.com,"123 Garden Ave, CA, USA",5719730,ml123,buyer
7,Megan,Chang,greenwilliam@yahoo.com,"PSC 4759, Box 3824, APO AE 99565",7732893,zRe9_ZioC@,buyer
8,Tammy,Woods,trujilloana@gmail.com,"097 Sanchez Islands Apt. 393, Port Tammy, ND 59217",7028916,z@A91CuqlK,buyer
9,Lauren,Stewart,ivan20@zavala.com,"86848 Melissa Springs, Rileymouth, TN 84543",4860483,+5Ck5g(4kC,buyer
10,Brandon,Berry,martinezjacob@wilson.com,"21730 Amy River, Port Jordanbury, SD 39961",8051945,^#6F2bgot0,buyer
11,Alyssa,Wilson,alexandermaldonado@hotmail.com,"564 Ann Bridge Suite 150, Dennisfort, RI 38233",2928866,_)Ahn^Su+5,buyer
12,Richard,Miles,martincaleb@hotmail.com,"900 Nguyen Villages Suite 063, Port Jessicatown, TX 55221",4021149,^0mR*(Ga8y,buyer
13,Joshua,Chavez,dennis85@wiggins.com,"485 Mays Vista, Port Karafort, SD 60619",5803308,1F6_LrF&j_,buyer
14,Ralph,Kelley,woodsjohn@gmail.com,"6546 Cory Orchard, Rogersmouth, NJ 15706",3111573,+7sNYFbZ%&,buyer
15,Phillip,Stone,tkramer@hotmail.com,"3492 Lee Crescent, Port Michelletown, NC 59694",3467378,H33w3_DpS_,buyer
16,Danielle,Henderson,martha73@hotmail.com,"55508 Nancy Rapids, Port Nicholas, VT 93086",3325914,Qt%)A1Zc*q,buyer
17,Rachel,Shaw,burgessrebecca@roberts.biz,"9930 Joy Hollow Suite 517, Sherriport, MT 50853",7512274,&50CvFurW&,buyer
18,Cheryl,Hughes,ruizedward@george.com,"67109 Mendez Junction Apt. 942, Lloydville, WY 25290",9449473,hlkO$vNs!6,buyer
19,Holly,Fisher,thomaspatricia@yahoo.com,"PSC 1611, Box 6207, APO AA 90471",4703828,&0Pk#D!ym^,buyer
20,Julie,Carter,michelelopez@woods.com,"5744 White Common, New Beverlyburgh, FL 16915",9778127,515bQWhd)$,buyer
21,Dana,Miller,dana80@yahoo.com,"573 Carter Mountains Apt. 214, New Catherineberg, UT 58980",3337383,&6LY_MZn32,buyer
22,Kenneth,Mack,rogerpotter@gmail.com,"640 Joseph Skyway, North Jonathanhaven, OR 93557",5136979,6&7DW#xADR,buyer
23,Michelle,Campbell,amandajenkins@stephens.com,"221 Patrick Ramp Suite 284, Crystalchester, NJ 64576",7585582,p8Ah$XKM+!,buyer
24,Michael,Wilson,morgan43@walton.com,"562 Fisher Spur Suite 272, Davidburgh, MI 51471",8324875,427MxG5&1&,buyer
25,Cheyenne,Bush,robert08@hotmail.com,"USCGC Carpenter, FPO AA 33891",1929237,7$07aGkkx+,buyer
26,Curtis,Andrade,amanda54@gmail.com,"1385 Mary Glen, Larryfurt, NJ 45581",7449125,v+3B$ljM(&,buyer
27,Scott,Jones,lwilliams@gmail.com,"5561 Bishop Turnpike, Lake Kenneth, NY 79756",4203677,8iXe0IUr*!,buyer
28,Paul,Nelson,emilywarner@hotmail.com,"84535 Mitchell Extension, Port Alexis, MD 48602",2562871,q+)0_ZeOix,buyer
29,Charlotte,Anderson,jensenanthony@hotmail.com,"0382 Lamb Street Suite 851, Derrickfurt, ID 41974",6055855,gfxDKBa7%6,buyer
30,Jessica,Hernandez,bburton@williams.com,"6237 Thomas Inlet, Lake Mark, WA 54061",4130515,RiNeiT)w&0,buyer
31,Mark,Larsen,sonyafrye@newton.net,"9197 Christina Canyon, Matthewfurt, SC 05261",8170546,1LP0LClj*R,buyer
32,Kendra,Duncan,bryantjennifer@yahoo.com,"40494 Kathryn Path, Paulview, DE 74692",6581427,fcEt^3SvmT,buyer
33,Caroline,Archer,ashleyramos@noble-fry.info,"PSC 4931, Box 8642, APO AP 22764",4179856,vYS2Sd@j@8,buyer
34,Janice,Reynolds,bradyeric@miles.info,"USCGC Fields, FPO AE 02557",9352422,2EdFgU5v^8,buyer
35,Patty,Patrick,frankmclean@walters-shepard.com,"514 Travis Track Suite 366, Rowefurt, AZ 76875",3959662,S5mHu_&e*^,buyer
36,Leonard,Skinner,philip24@lambert-larson.biz,"22708 Madison Spurs, Herringstad, OR 11353",8393490,@7F67vz+i8,buyer
37,Arthur,Todd,deborahbryant@burnett.com,"8081 Smith Trail, North Ronaldstad, NV 44515",2668864,&BLg@ruI%8,buyer
38,Michael,Conley,wbrown@winters.org,"2074 Stacy Circles Suite 110, Andrewfurt, UT 86147",8520025,!5O^$Okz7Z,buyer
